Time,APM6 CPU,APM6 Memory
6,0.0,0.1
12,0.0,0.2
18,0.0,0.2
24,0.0,0.3
31,0.0,0.3
37,0.0,0.3
43,0.0,0.3
49,0.0,0.4
55,0.0,0.4
61,0.0,0.6
66,0.0,0.6
72,0.0,0.6
78,0.0,0.6
84,0.0,0.7
89,0.0,0.7
94,0.0,0.7
100,0.0,0.7
105,0.0,0.7
110,0.0,0.9
115,0.0,0.9
121,0.0,1.1
127,0.0,1.1
133,0.0,1.2
139,0.0,1.2
146,0.0,1.3
152,0.0,1.3
159,0.0,1.4
165,0.0,1.4
171,0.0,1.5
177,0.0,1.5
183,0.0,1.5
188,0.0,1.7
194,0.0,1.7
199,0.0,1.8
204,0.0,1.8
209,0.0,1.8
214,0.0,1.9
220,0.0,1.9
225,0.0,1.9
230,0.0,2.0
236,0.0,2.0
242,0.0,2.2
248,0.0,2.2
255,0.0,2.3
261,0.0,2.3
267,0.0,2.3
274,0.0,2.4
280,0.0,2.4
286,0.0,2.4
292,0.0,2.6
297,0.0,2.6
303,0.0,2.7
308,0.0,2.7
313,0.0,2.9
318,0.0,2.9
323,0.0,2.9
329,0.0,3.1
334,0.0,3.1
340,0.0,3.2
346,0.0,3.2
352,0.0,3.2
358,0.0,3.3
365,0.0,3.3
371,0.0,3.4
378,0.0,3.4
384,0.0,3.5
390,0.0,3.5
396,0.0,3.5
401,0.0,3.7
407,0.0,3.7
412,0.0,3.9
417,0.0,3.9
423,0.0,4.0
428,0.0,4.0
433,0.0,4.0
438,0.0,4.1
443,0.0,4.1
449,0.0,4.3
455,0.0,4.3
461,0.0,4.3
466,0.0,4.4
473,0.0,4.6
479,0.0,4.6
486,0.0,4.7
492,0.0,4.7
498,0.0,4.8
504,0.0,4.8
510,0.0,4.9
516,0.0,4.9
521,0.0,4.9
526,0.0,5.0
531,0.0,5.0
537,0.0,5.0
542,0.0,5.0
547,0.0,5.0
553,0.0,5.1
559,0.0,5.1
565,0.0,5.2
571,0.0,5.2
577,0.0,5.4
583,0.0,5.4
589,0.0,5.4
596,0.0,5.6
602,0.0,5.6
609,0.0,5.7
615,0.0,5.7
621,0.0,5.8
627,0.0,5.8
632,0.0,5.8
637,0.0,5.8
643,0.0,5.8
649,0.0,5.8
655,0.0,5.9
661,0.0,6.0
667,0.0,6.0
673,0.0,6.0
679,0.0,6.1
684,0.0,6.1
690,0.0,6.2
696,0.0,6.2
703,0.0,6.3
709,0.0,6.3
714,0.0,6.5
720,0.0,6.5
726,0.0,6.7
732,0.0,6.7
738,0.0,6.7
744,0.0,6.7
749,0.0,6.7
755,0.0,6.9
761,0.0,6.9
767,0.0,7.0
773,0.0,7.0
779,0.0,7.0
785,0.0,7.2
791,0.0,7.2
796,0.0,7.3
802,0.0,7.3
808,0.0,7.3
813,0.0,7.4
819,0.0,7.5
825,0.0,7.5
831,0.0,7.5
837,0.0,7.6
843,0.0,7.7
849,0.0,7.7
856,0.0,7.7
862,0.0,7.8
868,0.0,7.9
875,0.0,7.9
881,0.0,8.0
887,0.0,8.0
894,0.0,8.1
900,0.0,8.1
