Time,APM4 CPU,APM4 Memory
6,0.0,0.0
12,0.0,0.0
18,0.0,0.0
24,0.0,0.0
31,0.0,0.0
37,0.0,0.0
43,0.0,0.0
49,0.0,0.0
55,0.0,0.0
61,0.0,0.0
66,0.1,0.0
72,0.7,0.0
78,1.8,0.0
84,2.1,0.0
89,2.4,0.0
94,2.5,0.0
100,2.5,0.0
105,2.6,0.0
110,2.5,0.0
115,2.5,0.0
121,2.5,0.0
127,2.4,0.0
133,2.4,0.0
139,2.4,0.0
146,2.3,0.0
152,2.3,0.0
159,2.3,0.0
165,2.3,0.0
171,2.2,0.0
177,2.2,0.0
183,2.2,0.0
188,2.2,0.0
194,2.2,0.0
199,2.2,0.0
204,2.2,0.0
209,2.2,0.0
214,2.1,0.0
220,2.1,0.0
225,2.1,0.0
230,2.1,0.0
236,2.1,0.0
242,2.1,0.0
248,2.1,0.0
255,2.1,0.0
261,2.1,0.0
267,2.1,0.0
274,2.0,0.0
280,2.0,0.0
286,2.0,0.0
292,2.0,0.0
297,2.0,0.0
303,2.0,0.0
308,2.0,0.0
313,2.0,0.0
318,2.0,0.0
323,2.0,0.0
329,2.0,0.0
334,2.0,0.0
340,2.0,0.0
346,2.0,0.0
352,2.0,0.0
358,2.0,0.0
365,2.0,0.0
371,1.9,0.0
378,1.9,0.0
384,1.9,0.0
390,1.9,0.0
396,1.9,0.0
401,1.9,0.0
407,1.9,0.0
412,1.9,0.0
417,1.9,0.0
423,1.9,0.0
428,1.9,0.0
433,1.9,0.0
438,1.9,0.0
443,1.9,0.0
449,1.9,0.0
455,1.9,0.0
461,1.9,0.0
466,1.9,0.0
473,1.9,0.0
479,1.9,0.0
486,1.9,0.0
492,1.9,0.0
498,1.9,0.0
504,1.9,0.0
510,1.9,0.0
516,1.9,0.0
521,1.9,0.0
526,1.9,0.0
531,1.9,0.0
537,1.9,0.0
542,1.9,0.0
547,1.9,0.0
553,1.9,0.0
559,1.9,0.0
565,1.9,0.0
571,1.9,0.0
577,1.9,0.0
583,1.9,0.0
589,1.9,0.0
596,1.9,0.0
602,1.9,0.0
609,1.9,0.0
615,1.9,0.0
621,1.9,0.0
627,1.9,0.0
632,1.9,0.0
637,1.9,0.0
643,1.9,0.0
649,1.9,0.0
655,1.9,0.0
661,1.9,0.0
667,1.9,0.0
673,1.9,0.0
679,1.9,0.0
684,1.9,0.0
690,1.9,0.0
696,1.9,0.0
703,1.9,0.0
709,1.9,0.0
714,1.9,0.0
720,1.9,0.0
726,1.9,0.0
732,1.9,0.0
738,1.9,0.0
744,1.9,0.0
749,1.9,0.0
755,1.9,0.0
761,1.9,0.0
767,1.9,0.0
773,1.9,0.0
779,1.8,0.0
785,1.8,0.0
791,1.8,0.0
796,1.8,0.0
802,1.8,0.0
808,1.8,0.0
813,1.8,0.0
819,1.8,0.0
825,1.8,0.0
831,1.8,0.0
837,1.8,0.0
843,1.9,0.0
849,2.2,0.0
856,2.5,0.0
862,2.9,0.0
868,3.2,0.0
875,3.5,0.0
881,3.8,0.0
887,4.1,0.0
894,4.4,0.0
900,4.7,0.0
